test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.01769543695449829
T3,bits,50,0.017606589794158935
T0,qubits,50,0.018042880058288573
T3,qubits,50,0.01798604917526245
T1,bits,25,0.009140545845031739
T2,bits,25,0.009251136779785157
T4,bits,25,0.010486798763275147
T5,bits,25,0.022941121578216553
T1,qubits,25,0.007505931854248046
T2,qubits,25,0.007630699157714843
T4,qubits,25,0.00846465253829956
T5,qubits,25,0.01629609537124634
T6 sep,bits,50,0.02381227159500122
T6 sep,qubits,50,0.01859997320175171
T6 ent,bits,50,0.027511535644531248
T6 ent,qubits,50,0.019851000785827636
