test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,250,0.020670370292663574
T3,bits,250,0.020739731407165528
T0,qubits,250,0.021225446987152098
T3,qubits,250,0.02109462957382202
T1,bits,125,0.01119336051940918
T2,bits,125,0.011279555225372315
T4,bits,125,0.013647280788421631
T5,bits,125,0.02715238370895386
T1,qubits,125,0.008570160579681397
T2,qubits,125,0.008642207527160644
T4,qubits,125,0.010174925708770752
T5,qubits,125,0.018208161067962646
T6 sep,bits,250,0.027584918880462644
T6 sep,qubits,250,0.021833402633666992
T6 ent,bits,250,0.025241120624542236
T6 ent,qubits,250,0.017974666213989257
