test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,10,0.02427279233932495
T3,bits,10,0.023280773162841797
T0,qubits,10,0.023878467082977296
T3,qubits,10,0.023811960220336915
T1,bits,5,0.013745100498199464
T2,bits,5,0.014272556304931641
T4,bits,5,0.016306688785552977
T5,bits,5,0.0297386908531189
T1,qubits,5,0.00847640037536621
T2,qubits,5,0.008590784072875977
T4,qubits,5,0.01008458375930786
T5,qubits,5,0.017865278720855714
T6 sep,bits,10,0.032687621116638185
T6 sep,qubits,10,0.021621785163879394
T6 ent,bits,10,0.026227712631225586
T6 ent,qubits,10,0.01694852828979492
