test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.05698767900466919
T3,bits,2,0.027814304828643797
T0,qubits,2,0.016246104240417482
T3,qubits,2,0.012738478183746339
T1,bits,1,0.013925671577453613
T2,bits,1,0.014581632614135743
T4,bits,1,0.016249001026153564
T5,bits,1,0.02772824764251709
T1,qubits,1,0.009247565269470214
T2,qubits,1,0.0073531270027160645
T4,qubits,1,0.008637595176696777
T5,qubits,1,0.014056968688964843
T6_sep,bits,2,0.03629578351974487
T6_sep,qubits,2,0.021556377410888672
T6_ent,bits,2,0.026146864891052245
T6_ent,qubits,2,0.015833175182342528
