test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,12,0.021431821584701537
T3,bits,12,0.02035663922627767
T0,qubits,12,0.021673778692881264
T3,qubits,12,0.020404632886250815
T1,bits,6,0.010988173882166545
T2,bits,6,0.011358664433161417
T4,bits,6,0.012045421202977498
T5,bits,6,0.020873298247655235
T1,qubits,6,0.00779839555422465
T2,qubits,6,0.007845884561538697
T4,qubits,6,0.00828429063161214
T5,qubits,6,0.015307335058848062
T6_sep,bits,12,0.028179736932118733
T6_sep,qubits,12,0.02152777314186096
T6_ent,bits,12,0.019404375553131105
T6_ent,qubits,12,0.015514642000198364
