test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.037632322311401366
T3,bits,2,0.03802181482315063
T0,qubits,2,0.036413705348968504
T3,qubits,2,0.03634204864501953
T1,bits,1,0.017224979400634766
T2,bits,1,0.017505729198455812
T4,bits,1,0.01943211555480957
T5,bits,1,0.028645479679107667
T1,qubits,1,0.009380733966827393
T2,qubits,1,0.00999619960784912
T4,qubits,1,0.009531259536743164
T5,qubits,1,0.017059707641601564
T6_sep,bits,2,0.05001076459884644
T6_sep,qubits,2,0.028539049625396728
T6_ent,bits,2,0.04857182502746582
T6_ent,qubits,2,0.029793357849121092
