test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.03504757881164551
T3,bits,2,0.030558574199676513
T0,qubits,2,0.03152056932449341
T3,qubits,2,0.033675646781921385
T1,bits,1,0.015561258792877198
T2,bits,1,0.01656348705291748
T4,bits,1,0.016620063781738283
T5,bits,1,0.024951469898223878
T1,qubits,1,0.008518576622009277
T2,qubits,1,0.007378149032592774
T4,qubits,1,0.008386445045471192
T5,qubits,1,0.016725265979766847
T6_sep,bits,2,0.039856016635894775
T6_sep,qubits,2,0.02114638090133667
T6_ent,bits,2,0.04106659889221191
T6_ent,qubits,2,0.024096918106079102
