test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.028809112310409547
T3,bits,4,0.029466849565505982
T0,qubits,4,0.03083924651145935
T3,qubits,4,0.03435457944869995
T1,bits,2,0.01651669144630432
T2,bits,2,0.015814799070358276
T4,bits,2,0.018666040897369385
T5,bits,2,0.024341279268264772
T1,qubits,2,0.007200843095779419
T2,qubits,2,0.007060003280639648
T4,qubits,2,0.007994979619979858
T5,qubits,2,0.015201503038406372
T6_sep,bits,4,0.03732621669769287
T6_sep,qubits,4,0.020442330837249757
T6_ent,bits,4,0.0232450008392334
T6_ent,qubits,4,0.015533679723739624
