test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.03819531202316284
T3,bits,2,0.035746312141418456
T0,qubits,2,0.034216892719268796
T3,qubits,2,0.035212254524230956
T1,bits,1,0.018146967887878417
T2,bits,1,0.019260823726654053
T4,bits,1,0.018985867500305176
T5,bits,1,0.025929832458496095
T1,qubits,1,0.008820295333862305
T2,qubits,1,0.00860050916671753
T4,qubits,1,0.009865510463714599
T5,qubits,1,0.01727520227432251
T6_sep,bits,2,0.04062157869338989
T6_sep,qubits,2,0.024375402927398683
T6_ent,bits,2,0.02809511423110962
T6_ent,qubits,2,0.017909204959869383
