test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.034660065174102785
T3,bits,2,0.031728160381317136
T0,qubits,2,0.0340226411819458
T3,qubits,2,0.0371380090713501
T1,bits,1,0.01744251251220703
T2,bits,1,0.016099560260772704
T4,bits,1,0.01808786392211914
T5,bits,1,0.025831127166748048
T1,qubits,1,0.00783400535583496
T2,qubits,1,0.007734048366546631
T4,qubits,1,0.008668649196624755
T5,qubits,1,0.01637866497039795
T6_sep,bits,2,0.03817790746688843
T6_sep,qubits,2,0.022758066654205322
T6_ent,bits,2,0.027764952182769774
T6_ent,qubits,2,0.015768420696258546
