test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,2,0.012359035015106202
T3,bits,2,0.01108534336090088
T0,qubits,2,0.009221541881561279
T3,qubits,2,0.009076058864593506
T1,bits,1,0.00610724687576294
T2,bits,1,0.006025099754333496
T4,bits,1,0.008612275123596191
T5,bits,1,0.018406641483306885
T1,qubits,1,0.004757976531982422
T2,qubits,1,0.004774153232574463
T4,qubits,1,0.00696718692779541
T5,qubits,1,0.014125001430511475
T6 sep,bits,2,0.01494821310043335
T6 sep,qubits,2,0.012120568752288818
T6 ent,bits,2,0.014464056491851807
T6 ent,qubits,2,0.010533320903778075
