test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,44,0.013671115853569723
T3,bits,44,0.013563823699951173
T0,qubits,44,0.01363183856010437
T3,qubits,44,0.013833865252408114
T1,bits,22,0.0067526882345026185
T2,bits,22,0.006655820391394875
T4,bits,22,0.008399890227751299
T5,bits,22,0.01763055216182362
T1,qubits,22,0.005849904905666004
T2,qubits,22,0.00595660155469721
T4,qubits,22,0.007646369392221625
T5,qubits,22,0.015221301533959128
T6 sep,bits,44,0.018426012992858887
T6 sep,qubits,44,0.015481700680472634
T6 ent,bits,44,0.015247457135807385
T6 ent,qubits,44,0.012945934317328715
