test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.027233286404315337
T3,bits,162,0.027300955042426966
T0,qubits,162,0.02772991716125865
T3,qubits,162,0.027538175494582567
T1,bits,81,0.01394754147823946
T2,bits,81,0.014010768908041496
T4,bits,81,0.015269027374408864
T5,bits,81,0.02860388961839087
T1,qubits,81,0.010768643573478415
T2,qubits,81,0.010909400162873445
T4,qubits,81,0.011775961923010555
T5,qubits,81,0.019695581035849487
T6 sep,bits,162,0.042940834127826455
T6 sep,qubits,162,0.029421876389303325
T6 ent,bits,162,0.045101841290791825
T6 ent,qubits,162,0.030286937289767796
