test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.01773218631744385
T3,bits,50,0.01762110996246338
T0,qubits,50,0.017940335273742676
T3,qubits,50,0.01800271511077881
T1,bits,25,0.009118615627288818
T2,bits,25,0.009393181800842285
T4,bits,25,0.010608771800994874
T5,bits,25,0.02292471265792847
T1,qubits,25,0.0074066886901855465
T2,qubits,25,0.007478724002838134
T4,qubits,25,0.008390502452850342
T5,qubits,25,0.016120967388153076
T6 sep,bits,50,0.023718297004699705
T6 sep,qubits,50,0.018574027061462405
T6 ent,bits,50,0.02725764226913452
T6 ent,qubits,50,0.02020405673980713
