test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,250,0.020322748470306396
T3,bits,250,0.020353992176055907
T0,qubits,250,0.020696792793273928
T3,qubits,250,0.020713256454467775
T1,bits,125,0.011015824317932129
T2,bits,125,0.011117434787750244
T4,bits,125,0.013556411552429199
T5,bits,125,0.027015418243408203
T1,qubits,125,0.008467108631134033
T2,qubits,125,0.008584514141082763
T4,qubits,125,0.010202934074401855
T5,qubits,125,0.01822937755584717
T6 sep,bits,250,0.027064593505859373
T6 sep,qubits,250,0.02173722972869873
T6 ent,bits,250,0.02499060306549072
T6 ent,qubits,250,0.017488689231872558
