test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.015565824508666993
T3,bits,4,0.015203917026519775
T0,qubits,4,0.015602564811706543
T3,qubits,4,0.015555208921432495
T1,bits,2,0.007776439189910889
T2,bits,2,0.008322668075561524
T4,bits,2,0.01046416163444519
T5,bits,2,0.02055436372756958
T1,qubits,2,0.006241649389266968
T2,qubits,2,0.0061649858951568605
T4,qubits,2,0.00786292552947998
T5,qubits,2,0.015820795297622682
T6 sep,bits,4,0.02032117247581482
T6 sep,qubits,4,0.015688937902450562
T6 ent,bits,4,0.02034814953804016
T6 ent,qubits,4,0.013412684202194214
