test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,10,0.022466936111450196
T3,bits,10,0.02191270112991333
T0,qubits,10,0.02233388423919678
T3,qubits,10,0.022320361137390138
T1,bits,5,0.013028502464294434
T2,bits,5,0.01332552194595337
T4,bits,5,0.015682682991027833
T5,bits,5,0.02933706998825073
T1,qubits,5,0.007912158966064453
T2,qubits,5,0.008077883720397949
T4,qubits,5,0.009546544551849365
T5,qubits,5,0.017440209388732912
T6 sep,bits,10,0.03086132049560547
T6 sep,qubits,10,0.020186638832092284
T6 ent,bits,10,0.025746004581451414
T6 ent,qubits,10,0.01620337963104248
