shots,ave_time,faults
8,0.353189599,0.328935185
16,0.348456488,0.396527778
24,0.347975001,0.422434414
32,0.347274358,0.432368827
40,0.351027334,0.438560957
48,0.351885113,0.442997685
56,0.352132565,0.447087191
64,0.358612431,0.452256944
72,0.35680948,0.460435957
80,0.353822672,0.459876543
88,0.350608008,0.464216821
96,0.353264012,0.46716821
104,0.356633108,0.467997685
112,0.354202944,0.472916667
120,0.352708985,0.471682099
128,0.360731207,0.47494213
136,0.359716819,0.474575617
144,0.360787628,0.476466049
152,0.35890645,0.477719907
160,0.35922519,0.478240741
168,0.358373851,0.481500772
176,0.358634317,0.480555556
184,0.3576132,0.481712963
192,0.354744046,0.48130787
200,0.352899662,0.48273534
208,0.352939633,0.483661265
216,0.358457517,0.48285108
224,0.357506351,0.485609568
232,0.355880326,0.485127315
240,0.356201585,0.485300926
248,0.361293632,0.487384259
256,0.361287517,0.486670525
264,0.358976998,0.485590278
272,0.357788471,0.486959877
280,0.357892934,0.487094907
288,0.358889987,0.487596451
296,0.35873738,0.488599537
304,0.360889357,0.487750772
312,0.359785574,0.488271605
320,0.35848937,0.488850309
328,0.359288758,0.488310185
336,0.361126327,0.488715278
344,0.359030163,0.489641204
352,0.363098672,0.489814815
360,0.365908386,0.489158951
368,0.365979342,0.489583333
376,0.362785011,0.490991512
384,0.36378357,0.489853395
392,0.364775579,0.490239198
400,0.365213883,0.490914352
408,0.36728122,0.491415895
416,0.367413335,0.490335648
424,0.364925328,0.491743827
432,0.369906755,0.491956019
440,0.3641169,0.490952932
448,0.36503768,0.491685957
456,0.366558285,0.491724537
464,0.366999324,0.49212963
472,0.367891259,0.492573302
480,0.368227936,0.491589506
488,0.365989624,0.494155093
496,0.369595255,0.49376929
504,0.367964204,0.49222608
512,0.368756507,0.492071759
520,0.365138506,0.49367284
528,0.366576254,0.493614969
536,0.371053101,0.49226466
544,0.369369524,0.49380787
552,0.367234751,0.494193673
560,0.375016278,0.494830247
568,0.373083993,0.493518519
576,0.373178217,0.495119599
584,0.370257294,0.495428241
592,0.369877118,0.493962191
600,0.371854083,0.49533179
608,0.376445968,0.494000772
616,0.377445955,0.4953125
624,0.373903661,0.494598765
632,0.371410483,0.495003858
640,0.375468902,0.495081019
648,0.372353334,0.494097222
656,0.378358297,0.4953125
664,0.375903358,0.495100309
672,0.376123966,0.495582562
680,0.378147511,0.495679012
688,0.377626827,0.494772377
696,0.374248179,0.495543981
704,0.380374592,0.496624228
712,0.374820501,0.49681713
720,0.372934277,0.496527778
728,0.382653952,0.496257716
736,0.37684158,0.496064815
744,0.375815485,0.495023148
752,0.378019737,0.496585648
760,0.379024742,0.497087191
768,0.377427236,0.49693287
776,0.376633357,0.496566358
784,0.379480161,0.494733796
792,0.380141906,0.493653549
800,0.381716718,0.495023148
808,0.384371787,0.496199846
816,0.385037818,0.495505401
824,0.380978406,0.498109568
832,0.384225438,0.497935957
840,0.385030427,0.495833333
848,0.385918931,0.496141975
856,0.381577461,0.49535108
864,0.38715972,0.498321759
872,0.386602788,0.496566358
880,0.386061112,0.495736883
888,0.390168601,0.496585648
896,0.391105745,0.49689429
904,0.386631406,0.497299383
912,0.388216314,0.49691358
920,0.387013568,0.49841821
928,0.387890051,0.495466821
936,0.3865432,0.497916667
944,0.388348032,0.496412037
952,0.387454403,0.497164352
960,0.391495632,0.497781636
968,0.385996139,0.496971451
976,0.38648561,0.497627315
984,0.388070276,0.496450617
992,0.387107343,0.498128858
1000,0.387376153,0.496566358
1008,0.388165908,0.495891204
1016,0.392789137,0.496778549
1024,0.390948428,0.49693287
