shots,ave_time,faults
8,0.27062645,0.392225
16,0.269892646,0.472625
24,0.270732063,0.475
32,0.269748175,0.475
40,0.269512235,0.475
48,0.270363684,0.475
56,0.271770478,0.475
64,0.272223355,0.475
72,0.272869221,0.475
80,0.271603861,0.475
88,0.271773584,0.475
96,0.272081881,0.475
104,0.271011834,0.475
112,0.26851595,0.475
120,0.268876698,0.475
128,0.270051094,0.475
136,0.271465303,0.475
144,0.273122021,0.475
152,0.270883972,0.475
160,0.272738698,0.475
168,0.269770715,0.475
176,0.270141299,0.475
184,0.272013394,0.475
192,0.270687911,0.475
200,0.273657282,0.475
208,0.276284923,0.475
216,0.276481794,0.475
224,0.276097804,0.475
232,0.275759953,0.475
240,0.275007773,0.475
248,0.277397765,0.475
256,0.277807837,0.475
264,0.279038762,0.475
272,0.280145127,0.475
280,0.279928761,0.475
288,0.279536494,0.475
296,0.280299489,0.475
304,0.279827089,0.475
312,0.27619673,0.475
320,0.276943768,0.475
328,0.280095649,0.475
336,0.277353211,0.475
344,0.278386501,0.475
352,0.277833199,0.475
360,0.278482714,0.475
368,0.278607335,0.475
376,0.279264767,0.475
384,0.27826359,0.475
392,0.278911118,0.475
400,0.279830225,0.475
408,0.281720162,0.475
416,0.281182286,0.475
424,0.284708386,0.475
432,0.283915568,0.475
440,0.284769951,0.475
448,0.287053975,0.475
456,0.285484876,0.475
464,0.283957946,0.475
472,0.285275532,0.475
480,0.284592086,0.475
488,0.285241024,0.475
496,0.286378501,0.475
504,0.286314514,0.475
512,0.288605398,0.475
520,0.288668974,0.475
528,0.290297603,0.475
536,0.2876102,0.475
544,0.288859841,0.475
552,0.289322963,0.475
560,0.288755171,0.475
568,0.288119472,0.475
576,0.292518971,0.475
584,0.294094649,0.475
592,0.294036142,0.475
600,0.292461667,0.475
608,0.291743824,0.475
616,0.292381108,0.475
624,0.294246699,0.475
632,0.29100926,0.475
640,0.290361108,0.475
648,0.292962224,0.475
656,0.292539414,0.475
664,0.294637742,0.475
672,0.292414342,0.475
680,0.29238333,0.475
688,0.29293188,0.475
696,0.291826306,0.475
704,0.292986171,0.475
712,0.295224846,0.475
720,0.298098639,0.475
728,0.29895778,0.475
736,0.297563085,0.475
744,0.296677094,0.475
752,0.29575931,0.475
760,0.298094399,0.475
768,0.301244271,0.475
776,0.300443399,0.475
784,0.300897233,0.475
792,0.300092891,0.475
800,0.301312563,0.475
808,0.301375946,0.475
816,0.301448729,0.475
824,0.300164638,0.475
832,0.298394338,0.475
840,0.299581175,0.475
848,0.299037609,0.475
856,0.299912195,0.475
864,0.300671861,0.475
872,0.30489455,0.475
880,0.304527983,0.475
888,0.303558744,0.475
896,0.302146713,0.475
904,0.304420508,0.475
912,0.304483827,0.475
920,0.306182038,0.475
928,0.306491245,0.475
936,0.304847593,0.475
944,0.304750885,0.475
952,0.305181217,0.475
960,0.307943629,0.475
968,0.309708928,0.475
976,0.307894876,0.475
984,0.307769254,0.475
992,0.309597824,0.475
1000,0.307591229,0.475
1008,0.308137675,0.475
1016,0.307359236,0.475
1024,0.309171737,0.475
