shots,ave_time,faults
8,0.01653111,0.2
16,0.015633037,0.28
24,0.015663309,0.43
32,0.0158955,0.41
40,0.016276495,0.44
48,0.015131872,0.42
56,0.015992301,0.42
64,0.01574115,0.46
72,0.015156648,0.45
80,0.015973754,0.44
88,0.015997214,0.45
96,0.01617312,0.42
104,0.016332679,0.43
112,0.015802219,0.43
120,0.015535755,0.45
128,0.016250505,0.45
136,0.015309937,0.45
144,0.015594833,0.41
152,0.017192104,0.45
160,0.015090947,0.45
168,0.015862048,0.44
176,0.016105893,0.45
184,0.015760069,0.45
192,0.01542655,0.43
200,0.015278704,0.41
208,0.015247869,0.45
216,0.016263995,0.42
224,0.015272844,0.45
232,0.015920236,0.44
240,0.015692878,0.45
248,0.015327756,0.49
256,0.015850213,0.43
264,0.016283958,0.43
272,0.01637038,0.44
280,0.016591396,0.43
288,0.016763394,0.42
296,0.016591775,0.46
304,0.016567602,0.44
312,0.015421908,0.42
320,0.016039438,0.42
328,0.016187658,0.43
336,0.015921357,0.45
344,0.016323299,0.43
352,0.01597502,0.42
360,0.01600764,0.44
368,0.01629647,0.42
376,0.016025248,0.41
384,0.01621537,0.43
392,0.015971329,0.45
400,0.016865113,0.43
408,0.015459595,0.42
416,0.016559994,0.43
424,0.015496936,0.42
432,0.016495521,0.42
440,0.016756468,0.41
448,0.015497177,0.42
456,0.015964973,0.44
464,0.015572133,0.41
472,0.017017846,0.43
480,0.017132299,0.46
488,0.016722376,0.45
496,0.01605114,0.46
504,0.016019642,0.44
512,0.016170471,0.43
520,0.016182075,0.44
528,0.015513132,0.41
536,0.016764288,0.43
544,0.016060212,0.43
552,0.016559865,0.41
560,0.016151803,0.45
568,0.015639534,0.42
576,0.016937475,0.46
584,0.017840936,0.41
592,0.017119713,0.41
600,0.017201192,0.43
608,0.0162605,0.41
616,0.017679944,0.44
624,0.0170312,0.41
632,0.015727253,0.42
640,0.015718327,0.41
648,0.015737355,0.45
656,0.015640945,0.41
664,0.015713561,0.44
672,0.017605224,0.41
680,0.016638925,0.45
688,0.017128012,0.42
696,0.016608577,0.41
704,0.016044855,0.45
712,0.016699145,0.43
720,0.015611973,0.42
728,0.016607873,0.43
736,0.015564811,0.44
744,0.017035639,0.43
752,0.016042624,0.45
760,0.016149518,0.4
768,0.016849618,0.42
776,0.015851967,0.44
784,0.016878469,0.42
792,0.016367555,0.46
800,0.016484528,0.45
808,0.016777449,0.42
816,0.01646692,0.45
824,0.015889776,0.45
832,0.01735239,0.4
840,0.017240949,0.43
848,0.017980494,0.41
856,0.017100093,0.46
864,0.016474764,0.41
872,0.016444216,0.43
880,0.01689508,0.4
888,0.01681777,0.41
896,0.017390997,0.4
904,0.017337327,0.44
912,0.0163992,0.45
920,0.017028544,0.42
928,0.016484783,0.45
936,0.016492798,0.4
944,0.017036228,0.43
952,0.016558292,0.43
960,0.016603405,0.44
968,0.01810971,0.44
976,0.016529107,0.41
984,0.017383823,0.41
992,0.01670311,0.43
1000,0.01593307,0.42
1008,0.017005379,0.43
1016,0.016428862,0.43
1024,0.016583061,0.43
