test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,44,0.013459802757609973
T3,bits,44,0.013680850375782361
T0,qubits,44,0.013589474287900059
T3,qubits,44,0.013773816282098944
T1,bits,22,0.006633042747324164
T2,bits,22,0.0067865545099431825
T4,bits,22,0.00935239304195751
T5,bits,22,0.017766797542572023
T1,qubits,22,0.005986502495678989
T2,qubits,22,0.006047220121730457
T4,qubits,22,0.007850651849399913
T5,qubits,22,0.015681045705621892
T6 sep,bits,44,0.018451876531947742
T6 sep,qubits,44,0.015713026848706332
T6 ent,bits,44,0.015200450745495883
T6 ent,qubits,44,0.013313109224492853
