test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,162,0.023927026766317864
T3,bits,162,0.023878879753159887
T0,qubits,162,0.02432831187307099
T3,qubits,162,0.024117417835894925
T1,bits,81,0.01250515322626373
T2,bits,81,0.012734184441743073
T4,bits,81,0.01380826426141056
T5,bits,81,0.02483661115905385
T1,qubits,81,0.009934971214812478
T2,qubits,81,0.010023937107604226
T4,qubits,81,0.01091535856694351
T5,qubits,81,0.018591649149671013
T6 sep,bits,162,0.034384920714813985
T6 sep,qubits,162,0.026863991183999143
T6 ent,bits,162,0.037380521091414085
T6 ent,qubits,162,0.028109273645612932
