test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,10,0.0222898268699646
T3,bits,10,0.021496403217315673
T0,qubits,10,0.021961252689361572
T3,qubits,10,0.022185144424438478
T1,bits,5,0.013124058246612549
T2,bits,5,0.013332116603851318
T4,bits,5,0.01530313730239868
T5,bits,5,0.02878516912460327
T1,qubits,5,0.007860910892486573
T2,qubits,5,0.007948548793792724
T4,qubits,5,0.009641683101654053
T5,qubits,5,0.017312533855438232
T6 sep,bits,10,0.03047641754150391
T6 sep,qubits,10,0.020152649879455566
T6 ent,bits,10,0.025516290664672852
T6 ent,qubits,10,0.01601989269256592
