test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,44,0.013470450856468894
T3,bits,44,0.013566326553171332
T0,qubits,44,0.013675556941465897
T3,qubits,44,0.01363980770111084
T1,bits,22,0.006623338027433916
T2,bits,22,0.006634819507598877
T4,bits,22,0.009479878707365556
T5,bits,22,0.017794989997690375
T1,qubits,22,0.005823203108527444
T2,qubits,22,0.005900378660722213
T4,qubits,22,0.007656023719094017
T5,qubits,22,0.015350971980528396
T6 sep,bits,44,0.01847614375027743
T6 sep,qubits,44,0.015500842441212049
T6 ent,bits,44,0.015211252732710404
T6 ent,qubits,44,0.012940530885349622
