test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,4,0.01939702033996582
T3,bits,4,0.016946440935134886
T0,qubits,4,0.018597358465194704
T3,qubits,4,0.018359029293060304
T1,bits,2,0.0085712730884552
T2,bits,2,0.008667945861816406
T4,bits,2,0.011015355587005615
T5,bits,2,0.023574984073638915
T1,qubits,2,0.006563854217529297
T2,qubits,2,0.0066232442855834964
T4,qubits,2,0.008065778017044067
T5,qubits,2,0.01557983160018921
T6 sep,bits,4,0.022805076837539674
T6 sep,qubits,4,0.017375373840332033
T6 ent,bits,4,0.021405667066574097
T6 ent,qubits,4,0.014488810300827026
